Transaction ID,Type,Date,Pickup Date,Reference,Mode,FBA ID,Ship Name,Container,SKU,Warehouse,Notes
TRX-FMC-1734652800000-109,SHIP,2024-12-20,2024-12-22,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
TRX-FMC-1734652800000-111,SHIP,2024-12-20,2024-12-22,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS-CDS-001,FMC,""
TRX-FMC-1734652800000-110,SHIP,2024-12-20,2024-12-22,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-4AS-1734220800000-108,RECEIVE,2024-12-15,2024-12-13,"Batch 4 - Bari Textile Receiving",,,"",,CS-CDS-002,4AS,""
TRX-4AS-1734220800000-107,RECEIVE,2024-12-15,2024-12-12,"Batch 4 - Bari Textile Receiving",,,"",,CS-CDS-001,4AS,""
TRX-VGLOBAL-1733270400000-106,SHIP,2024-12-04,2024-12-06,"24 Cartons - CS011",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1733184000000-100,SHIP,2024-12-03,2024-12-04,"88 Ctns - Mix SKU - 03 Dec",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1733184000000-101,SHIP,2024-12-03,2024-12-05,"88 Ctns - Mix SKU - 03 Dec",,,"",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1733184000000-102,SHIP,2024-12-03,2024-12-03,"88 Ctns - Mix SKU - 03 Dec",,,"",,CS-CDS-002,VGLOBAL,""
TRX-FMC-1733184000000-104,SHIP,2024-12-03,2024-12-05,"64 Cartons-Mix SKU-LTL-02-Dec",LTL,,"",,CS 009,FMC,""
TRX-FMC-1733184000000-103,SHIP,2024-12-03,2024-12-03,"64 Cartons-Mix SKU-LTL-02-Dec",LTL,,"",,CS 008,FMC,""
TRX-FMC-1733184000000-105,SHIP,2024-12-03,2024-12-05,"64 Cartons-Mix SKU-LTL-02-Dec",LTL,,"",,CS-CDS-001,FMC,""
TRX-VGLOBAL-1731024000000-98,SHIP,2024-11-08,2024-11-09,"48 Cartons CS011 CS012",,,"",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1731024000000-97,SHIP,2024-11-08,2024-11-10,"48 Cartons CS011 CS012",,,"",,CS 011,VGLOBAL,""
TRX-FMC-1731024000000-99,SHIP,2024-11-08,2024-11-10,"72 Cartons - CS007",,,"",,CS 007,FMC,""
TRX-VGLOBAL-1730332800000-95,SHIP,2024-10-31,2024-10-31,"114 Cartons - Mix SKU",,,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1730332800000-96,SHIP,2024-10-31,2024-11-02,"114 Cartons - Mix SKU",,,"",,CS-CDS-002,VGLOBAL,""
TRX-VGLOBAL-1729814400000-94,SHIP,2024-10-25,2024-10-26,"24 Cartons - CS012",,,"",,CS 012,VGLOBAL,""
TRX-FMC-1729641600000-92,SHIP,2024-10-23,2024-10-25,"164 Cartons - Mix SKU",,,"",,CS 010,FMC,""
TRX-FMC-1729641600000-93,SHIP,2024-10-23,2024-10-24,"164 Cartons - Mix SKU",,,"",,CS-CDS-001,FMC,""
TRX-FMC-1729641600000-90,SHIP,2024-10-23,2024-10-23,"164 Cartons - Mix SKU",,,"",,CS 007,FMC,""
TRX-FMC-1729641600000-91,SHIP,2024-10-23,2024-10-24,"164 Cartons - Mix SKU",,,"",,CS 009,FMC,""
TRX-VGLOBAL-1728950400000-89,SHIP,2024-10-15,2024-10-17,"96 Cartons - Mix SKU",,,"",,CS-CDS-002,VGLOBAL,""
TRX-VGLOBAL-1728950400000-88,SHIP,2024-10-15,2024-10-15,"96 Cartons - Mix SKU",,,"",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1728950400000-87,SHIP,2024-10-15,2024-10-15,"96 Cartons - Mix SKU",,,"",,CS 007,VGLOBAL,""
TRX-FMC-1728604800000-85,SHIP,2024-10-11,2024-10-13,"72 Cartons - Mix SKU - LTL-11-Oct",LTL,,"",,CS-CDS-001,FMC,""
TRX-FMC-1728604800000-86,SHIP,2024-10-11,2024-10-11,"72 Cartons - Mix SKU - LTL-11-Oct",LTL,,"",,CS-CDS-001,FMC,""
TRX-FMC-1728604800000-83,SHIP,2024-10-11,2024-10-11,"72 Cartons - Mix SKU - LTL-11-Oct",LTL,,"",,CS 007,FMC,""
TRX-FMC-1728604800000-84,SHIP,2024-10-11,2024-10-13,"72 Cartons - Mix SKU - LTL-11-Oct",LTL,,"",,CS 009,FMC,""
TRX-FMC-1728432000000-80,SHIP,2024-10-09,2024-10-09,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
TRX-FMC-1728432000000-81,SHIP,2024-10-09,2024-10-11,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-FMC-1728432000000-82,SHIP,2024-10-09,2024-10-11,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-FMC-1728000000000-77,SHIP,2024-10-04,2024-10-04,"95 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
TRX-FMC-1728000000000-79,SHIP,2024-10-04,2024-10-04,"95 Cartons - Mix SKU - LTL",LTL,,"",,CS-CDS-002,FMC,""
TRX-FMC-1728000000000-78,SHIP,2024-10-04,2024-10-05,"95 Cartons - Mix SKU - LTL",LTL,,"",,CS 010,FMC,""
TRX-VGLOBAL-1727308800000-76,RECEIVE,2024-09-26,2024-09-25,"CDS Pakistan - Copiapo",,,"CDS Pakistan",,CS-CDS-002,VGLOBAL,""
TRX-VGLOBAL-1727308800000-75,RECEIVE,2024-09-26,2024-09-24,"CDS Pakistan - Copiapo",,,"CDS Pakistan",,CS-CDS-001,VGLOBAL,""
TRX-FMC-1727049600000-74,SHIP,2024-09-23,2024-09-24,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS-CDS-002,FMC,""
TRX-FMC-1727049600000-65,SHIP,2024-09-23,2024-09-23,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
TRX-FMC-1727049600000-73,SHIP,2024-09-23,2024-09-23,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS-CDS-001,FMC,""
TRX-FMC-1727049600000-72,SHIP,2024-09-23,2024-09-24,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS 010,FMC,""
TRX-FMC-1727049600000-71,SHIP,2024-09-23,2024-09-23,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS 010,FMC,""
TRX-FMC-1727049600000-70,SHIP,2024-09-23,2024-09-24,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS 009,FMC,""
TRX-FMC-1727049600000-69,SHIP,2024-09-23,2024-09-23,"68 Cartons - Mix SKU - SPD",SPD,,"",,CS 007,FMC,""
TRX-FMC-1727049600000-68,SHIP,2024-09-23,2024-09-24,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS-CDS-002,FMC,""
TRX-FMC-1727049600000-67,SHIP,2024-09-23,2024-09-24,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS-CDS-001,FMC,""
TRX-FMC-1727049600000-66,SHIP,2024-09-23,2024-09-25,"72 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-VGLOBAL-1726790400000-64,SHIP,2024-09-20,2024-09-20,"48 Cartons - CS011-CS012",,,"",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1726790400000-63,SHIP,2024-09-20,2024-09-20,"48 Cartons - CS011-CS012",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1726617600000-62,RECEIVE,2024-09-18,2024-09-17,"OOCL Spain",,,"OOCL Spain",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1726617600000-58,RECEIVE,2024-09-18,2024-09-15,"OOCL Spain",,,"OOCL Spain",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1726617600000-61,RECEIVE,2024-09-18,2024-09-15,"OOCL Spain",,,"OOCL Spain",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1726617600000-60,RECEIVE,2024-09-18,2024-09-15,"OOCL Spain",,,"OOCL Spain",,CS 010,VGLOBAL,""
TRX-VGLOBAL-1726617600000-59,RECEIVE,2024-09-18,2024-09-16,"OOCL Spain",,,"OOCL Spain",,CS 008,VGLOBAL,""
TRX-VGLOBAL-1726617600000-57,RECEIVE,2024-09-18,2024-09-17,"OOCL Spain",,,"OOCL Spain",,CS 007,VGLOBAL,""
TRX-FMC-1726444800000-56,SHIP,2024-09-16,2024-09-17,"36 Cartons - CS007-CS009 - LTL",LTL,,"",,CS 009,FMC,""
TRX-FMC-1726444800000-55,SHIP,2024-09-16,2024-09-17,"36 Cartons - CS007-CS009 - LTL",LTL,,"",,CS 007,FMC,""
