Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-FMC-1729641600000-90,2024-10-22,SHIP,FMC,CS 007,"164 Cartons - Mix SKU",,,,"",,,,164,,,,OTHER,YES
TRX-FMC-1729641600000-91,2024-10-22,SHIP,FMC,CS 009,"164 Cartons - Mix SKU",,,,"",,,,164,,,,OTHER,YES
TRX-VGLOBAL-1728950400000-87,2024-10-14,SHIP,VGlobal,CS 007,"96 Cartons - Mix SKU",,,,"",,,,96,,,,OTHER,YES
TRX-VGLOBAL-1728950400000-88,2024-10-14,SHIP,VGlobal,CS 009,"96 Cartons - Mix SKU",,,,"",,,,96,,,,OTHER,YES
TRX-VGLOBAL-1728950400000-89,2024-10-14,SHIP,VGlobal,CS-CDS-002,"96 Cartons - Mix SKU",,,,"",,,,96,,,,OTHER,YES
TRX-FMC-1728604800000-83,2024-10-10,SHIP,FMC,CS 007,"72 Cartons - Mix SKU - LTL-11-Oct",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728604800000-85,2024-10-10,SHIP,FMC,CS-CDS-001,"72 Cartons - Mix SKU - LTL-11-Oct",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728604800000-86,2024-10-10,SHIP,FMC,CS-CDS-001,"72 Cartons - Mix SKU - LTL-11-Oct",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728604800000-84,2024-10-10,SHIP,FMC,CS 009,"72 Cartons - Mix SKU - LTL-11-Oct",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728432000000-80,2024-10-08,SHIP,FMC,CS 007,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728432000000-81,2024-10-08,SHIP,FMC,CS 009,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728432000000-82,2024-10-08,SHIP,FMC,CS 009,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1728000000000-77,2024-10-03,SHIP,FMC,CS 007,"95 Cartons - Mix SKU - LTL",,,,"",,LTL,,95,,,,OTHER,YES
TRX-FMC-1728000000000-79,2024-10-03,SHIP,FMC,CS-CDS-002,"95 Cartons - Mix SKU - LTL",,,,"",,LTL,,95,,,,OTHER,YES
TRX-FMC-1728000000000-78,2024-10-03,SHIP,FMC,CS 010,"95 Cartons - Mix SKU - LTL",,,,"",,LTL,,95,,,,OTHER,YES
TRX-VGLOBAL-1727308800000-76,2024-09-25,RECEIVE,VGlobal,CS-CDS-002,"CDS Pakistan - Copiapo",,CDS Pakistan,,"",,,,,,,,OTHER,YES
TRX-VGLOBAL-1727308800000-75,2024-09-25,RECEIVE,VGlobal,CS-CDS-001,"CDS Pakistan - Copiapo",,CDS Pakistan,,"",,,,,,,,OTHER,YES
TRX-FMC-1727049600000-73,2024-09-22,SHIP,FMC,CS-CDS-001,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-74,2024-09-22,SHIP,FMC,CS-CDS-002,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-72,2024-09-22,SHIP,FMC,CS 010,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-71,2024-09-22,SHIP,FMC,CS 010,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-70,2024-09-22,SHIP,FMC,CS 009,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-69,2024-09-22,SHIP,FMC,CS 007,"68 Cartons - Mix SKU - SPD",,,,"",,SPD,,68,,,,OTHER,YES
TRX-FMC-1727049600000-68,2024-09-22,SHIP,FMC,CS-CDS-002,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
